Mission_time,Temp1,Temp2,Pressure1,Pressure2,Temp3,Temp4,Pressure3,Pressure4,Temp5,Temp6,Pressure5,Pressure6,Pressurant_Fill_Indicator,Pressurant_Oxidizer_Indicator,Oxidizer_Fill_Indicator,Oxidizer_Combustion_Indicator
78.42,176.27,0.00,49.00,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
79.42,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
80.43,176.76,0.00,49.17,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
81.43,176.76,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,207.59,0.00,0,0,0,0
82.44,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
83.44,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
84.45,177.25,0.00,49.35,0.00,181.64,0.00,183.70,0.00,0.00,0.00,208.40,0.00,0,0,0,0
85.45,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
86.46,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
87.46,176.76,0.00,49.17,0.00,180.66,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
88.47,177.25,0.00,49.35,0.00,181.15,0.00,182.89,0.00,0.00,0.00,208.40,0.00,0,0,0,0
89.48,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
90.48,176.27,0.00,49.00,0.00,180.18,0.00,181.26,0.00,0.00,0.00,206.77,0.00,0,0,0,0
91.49,177.25,0.00,49.53,0.00,181.64,0.00,183.70,0.00,0.00,0.00,208.40,0.00,0,0,0,0
92.49,176.76,0.00,49.17,0.00,180.66,0.00,182.08,0.00,0.00,0.00,207.59,0.00,0,0,0,0
